"Volcano_Number","Volcano_Name","Country","Elevation_(m)","Tectonic_Setting","eruption_count","risk_score"
284061,"Kita-Bayonnaise","Japan",-360,"Subduction zone / Oceanic crust (< 15 km)",0,0
284070,"Myojinsho","Japan",11,"Subduction zone / Oceanic crust (< 15 km)",15,15
284080,"Sumisujima","Japan",136,"Subduction zone / Oceanic crust (< 15 km)",2,2
284090,"Izu-Torishima","Japan",394,"Subduction zone / Oceanic crust (< 15 km)",6,6
284091,"Sofugan","Japan",99,"Subduction zone / Oceanic crust (< 15 km)",0,0
284093,"Suiyo Seamount","Japan",-991,"Subduction zone / Crustal thickness unknown",0,0
284094,"Mokuyo Seamount","Japan",-933,"Subduction zone / Crustal thickness unknown",0,0
284095,"Doyo Seamount","Japan",-590,"Subduction zone / Crustal thickness unknown",0,0
284096,"Nishinoshima","Japan",100,"Subduction zone / Crustal thickness unknown",7,7
284097,"Kaikata Seamount","Japan",-165,"Subduction zone / Crustal thickness unknown",0,0
284100,"Kaitoku Seamount","Japan",-95,"Subduction zone / Crustal thickness unknown",2,2
284110,"Kita-Ioto","Japan",792,"Subduction zone / Crustal thickness unknown",4,4
284120,"Ioto","Japan",169,"Subduction zone / Crustal thickness unknown",26,26
284121,"Kita-Fukutokutai","Japan",-73,"Subduction zone / Crustal thickness unknown",1,1
284130,"Fukutoku-Oka-no-Ba","Japan",-29,"Subduction zone / Crustal thickness unknown",10,10
284131,"Minami-Hiyoshi","Japan",-107,"Subduction zone / Crustal thickness unknown",1,1
284132,"Nikko","Japan",-392,"Subduction zone / Crustal thickness unknown",0,0
284133,"Fukujin","United States",-217,"Subduction zone / Crustal thickness unknown",3,3
284134,"Kasuga 1","United States",-598,"Subduction zone / Crustal thickness unknown",1,1
284135,"Kasuga 2","United States",-274,"Subduction zone / Crustal thickness unknown",0,0
284136,"NW Eifuku","United States",-1535,"Subduction zone / Crustal thickness unknown",0,0
284137,"Daikoku","United States",-323,"Subduction zone / Crustal thickness unknown",0,0
284140,"Farallon de Pajaros","United States",337,"Subduction zone / Crustal thickness unknown",14,14
284141,"Ahyi","United States",-75,"Subduction zone / Crustal thickness unknown",11,11
284142,"Supply Reef","United States",-8,"Subduction zone / Crustal thickness unknown",0,0
284143,"Maug Islands","United States",227,"Subduction zone / Crustal thickness unknown",0,0
284150,"Asuncion","United States",857,"Subduction zone / Crustal thickness unknown",1,1
284160,"Agrigan","United States",965,"Subduction zone / Crustal thickness unknown",1,1
284170,"Pagan","United States",570,"Subduction zone / Crustal thickness unknown",21,21
284180,"Alamagan","United States",744,"Subduction zone / Crustal thickness unknown",2,2
284190,"Guguan","United States",232,"Subduction zone / Crustal thickness unknown",1,1
284191,"Zealandia Bank","United States",0,"Subduction zone / Crustal thickness unknown",0,0
284192,"Sarigan","United States",538,"Subduction zone / Crustal thickness unknown",0,0
284193,"South Sarigan Seamount","United States",-184,"Subduction zone / Crustal thickness unknown",1,1
284200,"Anatahan","United States",790,"Subduction zone / Crustal thickness unknown",4,4
284201,"East Diamante","United States",-127,"Subduction zone / Crustal thickness unknown",0,0
284202,"Ruby","United States",-174,"Subduction zone / Crustal thickness unknown",3,3
284210,"Esmeralda Bank","United States",-74,"Subduction zone / Crustal thickness unknown",0,0
284211,"NW Rota-1","United States",-517,"Subduction zone / Crustal thickness unknown",1,1
284220,"Forecast Seamount","United States",-1456,"Subduction zone / Crustal thickness unknown",0,0
284230,"Seamount X","United States",-1230,"Subduction zone / Crustal thickness unknown",0,0
284305,"Mariana Back-Arc Segment at 15.5°N","United States",-4100,"Subduction zone / Oceanic crust (< 15 km)",1,1
285010,"Oshima-Oshima","Japan",732,"Subduction zone / Continental crust (>25 km)",5,5
285011,"Esan","Japan",618,"Subduction zone / Continental crust (>25 km)",8,8
285020,"Hokkaido-Komagatake","Japan",1131,"Subduction zone / Continental crust (>25 km)",19,19
285030,"Toya","Japan",733,"Subduction zone / Continental crust (>25 km)",13,13
285031,"Niseko","Japan",1308,"Subduction zone / Continental crust (>25 km)",1,1
285032,"Yoteizan","Japan",1888,"Subduction zone / Continental crust (>25 km)",2,2
285034,"Kuttara","Japan",549,"Subduction zone / Continental crust (>25 km)",3,3
285040,"Shikotsu","Japan",1320,"Subduction zone / Continental crust (>25 km)",41,41
285041,"Rishirizan","Japan",1721,"Subduction zone / Continental crust (>25 km)",1,1
285050,"Tokachidake","Japan",2077,"Subduction zone / Continental crust (>25 km)",27,27
285060,"Taisetsuzan","Japan",2291,"Subduction zone / Continental crust (>25 km)",5,5
285061,"Maruyama","Japan",2013,"Subduction zone / Continental crust (>25 km)",2,2
285070,"Akan","Japan",1499,"Subduction zone / Continental crust (>25 km)",35,35
285080,"Kussharo","Japan",574,"Subduction zone / Continental crust (>25 km)",6,6
285081,"Mashu","Japan",857,"Subduction zone / Continental crust (>25 km)",7,7
285082,"Rausudake","Japan",1660,"Subduction zone / Continental crust (>25 km)",5,5
285083,"Tenchozan","Japan",1046,NA,0,0
285090,"Shiretoko-Iozan","Japan",1562,"Subduction zone / Continental crust (>25 km)",6,6
290010,"Tomariyama [Golovnin]","Japan - administered by Russia",535,"Subduction zone / Intermediate crust (15-25 km)",3,3
290020,"Raususan [Mendeleev]","Japan - administered by Russia",882,"Subduction zone / Intermediate crust (15-25 km)",2,2
290021,"Ruruidake [Smirnov]","Japan - administered by Russia",1447,"Subduction zone / Intermediate crust (15-25 km)",0,0
290030,"Chachadake [Tiatia]","Japan - administered by Russia",1822,"Subduction zone / Intermediate crust (15-25 km)",4,4
290040,"Berutarubesan [Berutarube]","Japan - administered by Russia",1221,"Subduction zone / Intermediate crust (15-25 km)",0,0
290041,"Moekeshiwan [Lvinaya Past]","Japan - administered by Russia",495,"Subduction zone / Intermediate crust (15-25 km)",1,1
290050,"Etorofu-Atosanupuri [Atosanupuri]","Japan - administered by Russia",1206,"Subduction zone / Intermediate crust (15-25 km)",2,2
290060,"Hitokappu Volcano Group [Bogatyr Ridge]","Japan - administered by Russia",1610,"Subduction zone / Intermediate crust (15-25 km)",0,0
290061,"Unnamed","Japan - administered by Russia",-195,"Subduction zone / Intermediate crust (15-25 km)",0,0
290070,"Etorofu-Yakeyama [Grozny Group]","Japan - administered by Russia",1158,"Subduction zone / Intermediate crust (15-25 km)",7,7
290072,"Odamoisan [Tebenkov]","Japan - administered by Russia",1208,"Subduction zone / Intermediate crust (15-25 km)",0,0
290080,"Sashiusudake [Baransky]","Japan - administered by Russia",1125,"Subduction zone / Intermediate crust (15-25 km)",3,3
290090,"Chirippusan [Chirip]","Japan - administered by Russia",1587,"Subduction zone / Intermediate crust (15-25 km)",2,2
290100,"Moyorodake [Medvezhia]","Japan - administered by Russia",1124,"Subduction zone / Intermediate crust (15-25 km)",5,5
290110,"Rakkibetsudake [Demon]","Japan - administered by Russia",1205,"Subduction zone / Intermediate crust (15-25 km)",0,0
290111,"Ivao Group","Russia",1426,"Subduction zone / Intermediate crust (15-25 km)",0,0
290112,"Rudakov","Russia",532,"Subduction zone / Intermediate crust (15-25 km)",0,0
290113,"Tri Sestry","Russia",998,"Subduction zone / Intermediate crust (15-25 km)",0,0
290120,"Kolokol Group","Russia",1328,"Subduction zone / Intermediate crust (15-25 km)",9,9
290150,"Chirpoi","Russia",742,"Subduction zone / Oceanic crust (< 15 km)",9,9
290160,"Unnamed","Russia",-502,"Subduction zone / Oceanic crust (< 15 km)",1,1
290161,"Milna","Russia",1504,"Subduction zone / Oceanic crust (< 15 km)",5,5
290180,"Zavaritzki Caldera","Russia",612,"Subduction zone / Oceanic crust (< 15 km)",2,2
290190,"Prevo Peak","Russia",1360,"Subduction zone / Oceanic crust (< 15 km)",2,2
290191,"Uratman","Russia",678,"Subduction zone / Oceanic crust (< 15 km)",0,0
290200,"Ketoi","Russia",1172,"Subduction zone / Oceanic crust (< 15 km)",3,3
290210,"Ushishur","Russia",357,"Subduction zone / Oceanic crust (< 15 km)",4,4
290211,"Srednii","Russia",36,"Subduction zone / Oceanic crust (< 15 km)",0,0
290220,"Rasshua","Russia",956,"Subduction zone / Oceanic crust (< 15 km)",2,2
290240,"Sarychev Peak","Russia",1496,"Subduction zone / Intermediate crust (15-25 km)",20,20
290250,"Raikoke","Russia",551,"Subduction zone / Intermediate crust (15-25 km)",4,4
290260,"Chirinkotan","Russia",724,"Subduction zone / Intermediate crust (15-25 km)",11,11
290270,"Ekarma","Russia",1170,"Subduction zone / Intermediate crust (15-25 km)",3,3
290290,"Sinarka","Russia",911,"Subduction zone / Intermediate crust (15-25 km)",4,4
290300,"Kharimkotan","Russia",1145,"Subduction zone / Intermediate crust (15-25 km)",6,6
290310,"Tao-Rusyr Caldera","Russia",1272,"Subduction zone / Intermediate crust (15-25 km)",2,2
290320,"Nemo Peak","Russia",1018,"Subduction zone / Intermediate crust (15-25 km)",11,11
290331,"Shirinki","Russia",761,"Subduction zone / Continental crust (>25 km)",0,0
290340,"Fuss Peak","Russia",1742,"Subduction zone / Continental crust (>25 km)",9,9
290350,"Karpinsky Group","Russia",1326,"Subduction zone / Continental crust (>25 km)",1,1
290360,"Chikurachki","Russia",1781,"Subduction zone / Continental crust (>25 km)",28,28
290370,"Vernadskii Ridge","Russia",1183,"Subduction zone / Continental crust (>25 km)",0,0
290380,"Ebeko","Russia",1103,"Subduction zone / Continental crust (>25 km)",20,20
290390,"Alaid","Russia",2285,"Subduction zone / Continental crust (>25 km)",15,15
300010,"Kambalny","Russia",2116,"Subduction zone / Continental crust (>25 km)",2,2
300020,"Koshelev","Russia",1822,"Subduction zone / Continental crust (>25 km)",4,4
300021,"Yavinsky","Russia",646,"Subduction zone / Continental crust (>25 km)",1,1
300022,"Diky Greben","Russia",1040,"Subduction zone / Continental crust (>25 km)",4,4
300023,"Kurile Lake","Russia",81,"Subduction zone / Continental crust (>25 km)",2,2
300030,"Iliinsky","Russia",1555,"Subduction zone / Continental crust (>25 km)",6,6
300040,"Zheltovsky","Russia",1926,"Subduction zone / Continental crust (>25 km)",4,4
300050,"Ksudach","Russia",1007,"Subduction zone / Continental crust (>25 km)",15,15
300052,"Olkoviy Volcanic Group","Russia",681,"Subduction zone / Continental crust (>25 km)",0,0
300053,"Khodutka","Russia",2039,"Subduction zone / Continental crust (>25 km)",3,3
300058,"Asacha","Russia",1910,"Subduction zone / Continental crust (>25 km)",0,0
300059,"Visokiy","Russia",1227,"Subduction zone / Continental crust (>25 km)",0,0
300060,"Mutnovsky","Russia",2288,"Subduction zone / Continental crust (>25 km)",45,45
300070,"Gorely","Russia",1799,"Subduction zone / Continental crust (>25 km)",50,50
300080,"Opala","Russia",2439,"Subduction zone / Continental crust (>25 km)",4,4
300082,"Tolmachev Dol","Russia",1021,"Subduction zone / Continental crust (>25 km)",2,2
300083,"Vilyuchinsky","Russia",2173,"Subduction zone / Continental crust (>25 km)",1,1
300084,"Barkhatnaya Sopka","Russia",874,"Subduction zone / Continental crust (>25 km)",1,1
300090,"Koryaksky","Russia",3430,"Subduction zone / Continental crust (>25 km)",7,7
300100,"Avachinsky","Russia",2717,"Subduction zone / Continental crust (>25 km)",55,55
